fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p
B_elevator_drag_8819410c,development,model,737,throttle_step,10,10,0,False,True,0.326995737962418,attitude/psi-rad,0.4349284194916308,False,0.0,4.0,0.0001999600079984
B_ground_effect_9c058118,development,model,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B_pqrdot_5ad2694c,development,cpp,737,throttle_step,10,10,0,False,True,0.0108202719298768,accelerations/qdot-rad_sec2,0.0105137986002851,False,0.0,0.0,0.1299740051989602
B_turbine_windmill_2db8e408,development,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B_elevator_drag_8819410c,development,model,737,elev_doublet,10,10,0,False,True,0.9533155875797732,accelerations/vdot-ft_sec2,1.0656951816504618,True,1.0,13.0,0.0001999600079984
B_ground_effect_9c058118,development,model,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B_pqrdot_5ad2694c,development,cpp,737,elev_doublet,10,10,0,False,True,10.688700510787998,accelerations/pdot-rad_sec2,12.034372807903235,True,1.0,2.0,0.0001999600079984
B_turbine_windmill_2db8e408,development,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.052989402119576
B_elevator_drag_8819410c,development,model,737,elev_step,10,10,0,False,True,1.6604778671152889,accelerations/udot-ft_sec2,1.5327711243773996,True,6.0,11.0,0.0001999600079984
B_ground_effect_9c058118,development,model,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B_pqrdot_5ad2694c,development,cpp,737,elev_step,10,10,0,False,True,12.14209649441113,accelerations/pdot-rad_sec2,11.584416248170124,True,2.0,1.0,0.0001999600079984
B_turbine_windmill_2db8e408,development,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.0577884423115376
B_elevator_drag_8819410c,development,model,737,aileron_step,10,10,0,False,True,0.0160052853874751,accelerations/udot-ft_sec2,0.0245665831892518,False,0.0,1.0,0.048990201959608
B_ground_effect_9c058118,development,model,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B_pqrdot_5ad2694c,development,cpp,737,aileron_step,10,10,0,False,True,0.016061136126943,accelerations/rdot-rad_sec2,0.0147218697876969,False,0.0,0.0,0.242751449710058
B_turbine_windmill_2db8e408,development,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.242751449710058
B_elevator_drag_8819410c,development,model,737,rudder_doublet,10,10,0,False,True,0.0136752560208127,velocities/h-dot-fps,0.0123202639103391,False,0.0,0.0,0.0507898420315936
B_ground_effect_9c058118,development,model,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B_pqrdot_5ad2694c,development,cpp,737,rudder_doublet,10,10,0,False,True,0.0008328734372378,accelerations/qdot-rad_sec2,0.0010396125509128,False,0.0,1.0,0.0265946810637872
B_turbine_windmill_2db8e408,development,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
